Ensemble n°,Real-Time Clock (RTC) Year,RTC Month,RTC Day,RTC Hour,RTC Minute,RTC Second,RTC Hundredths of Seconds,Beam #1 Range (cm),Beam #2 Range (cm),Beam #3 Range (cm),Beam #4 Range (cm),Beam #1/East/Stbd BT Vel (mm/s),Beam #2/North/Fwd BT Vel (mm/s),Beam #3/Upward/Vert BT Vel (mm/s),Beam #4/Error Velocity (mm/s),Beam #1 Pct Good,Beam #2 Pct Good,Beam #3 Pct Good,Beam #4 Pct Good
8458,22,10,13,15,3,56,0,276,482,310,452,21,-3,0,-6,0,0,0,100
8459,22,10,13,15,3,56,20,276,482,310,448,10,-4,-3,-3,0,0,0,100
8460,22,10,13,15,3,56,40,276,492,310,452,25,-4,-10,-14,0,0,0,100
8461,22,10,13,15,3,56,63,276,505,310,452,15,-7,-7,-8,0,0,0,100
8462,22,10,13,15,3,56,80,276,492,310,452,17,-5,-5,-9,0,0,0,100
8463,22,10,13,15,3,57,0,276,505,310,452,13,-7,-3,-6,0,0,0,100
8464,22,10,13,15,3,57,20,276,505,310,452,16,-9,-4,-3,0,0,0,100
8465,22,10,13,15,3,57,40,276,492,310,448,27,-3,-6,-13,0,0,0,100
8466,22,10,13,15,3,57,60,276,492,310,448,25,0,-3,-13,0,0,0,100
8467,22,10,13,15,3,57,83,276,492,310,452,28,-2,-3,-13,0,0,0,100
8468,22,10,13,15,3,57,99,276,492,310,452,30,-3,-3,-12,0,0,0,100
8469,22,10,13,15,3,58,19,276,492,310,452,33,-4,-3,-16,0,0,0,100
8470,22,10,13,15,3,58,39,276,482,310,452,-2,-2,5,8,0,0,0,100
8471,22,10,13,15,3,58,59,276,482,307,452,-6,-5,3,9,0,0,0,100
8472,22,10,13,15,3,58,79,276,482,310,452,6,-7,-3,1,0,0,0,100
8473,22,10,13,15,3,59,3,276,482,307,452,15,-7,-8,-13,0,0,0,100
8474,22,10,13,15,3,59,19,276,505,310,452,10,-11,-9,-1,0,0,0,100
8475,22,10,13,15,3,59,39,273,509,310,452,118,-14,-34,-75,0,0,0,100
8476,22,10,13,15,3,59,59,276,509,310,445,110,-8,-27,-75,0,0,0,100
8477,22,10,13,15,3,59,79,276,509,310,445,119,-4,-21,-81,0,0,0,100
8478,22,10,13,15,3,59,99,276,505,310,452,13,3,12,-6,0,0,0,100
8479,22,10,13,15,4,0,22,276,482,307,452,11,8,12,-6,0,0,0,100
